pl_name,pl_letter,pl_orbper,pl_trandep,pl_rade,pl_eqt,pl_trandur,st_rad,st_mass,st_teff,st_logg,ra,dec
HD 106315 b,b,9.5521,,2.23,,3.96,1.18,1.07,6290.0,4.29,183.4724742,-0.3934357
K2-214 b,b,8.596531,,2.21567504,,,1.123168,1.022196,5768.0,4.27,14.8759777,4.2277722
K2-220 b,b,13.682511,,2.21473364,,,0.929546,0.959636,5599.0,4.43,12.7700071,9.5167694
K2-100 b,b,1.673918,0.0621,4.67,,,1.572,,,,129.6010863,20.1060074
K2-189 b,b,5.1763,,1.51234354,,,0.862285,0.927528,5503.0,4.61,203.6214411,-15.0365158
WASP-107 b,b,5.72149,2.17,10.53646,770.0,2.7528,0.66,0.69,4430.0,4.5,188.3864277,-10.1462141
HD 106315 c,c,21.058,,4.4,874.0,4.728,1.281,1.027,6254.0,4.234,183.4724742,-0.3934357
K2-132 b,b,9.173866,,6.86473931,,,2.162531,0.984438,5035.0,3.8,182.1662666,-8.7472172
GJ 9827 c,c,3.64802,,1.36,721.9,2.19,0.651,0.659,4255.0,4.7,351.7717763,-1.2853435
GJ 9827 d,d,6.20141,,2.1,604.9,1.6,0.651,0.659,4255.0,4.7,351.7717763,-1.2853435
K2-66 b,b,5.06963,,2.49,1372.0,4.71,1.67,1.11,5887.0,4.03,331.5266563,-10.7115362
K2-100 b,b,1.6739,0.06,,,,1.21742,1.153,6115.49,4.32901,129.6010863,20.1060074
K2-222 b,b,15.386796,,2.1,,4.3896,0.96,,,,16.4625203,11.7537171
K2-216 b,b,2.174769,,1.7,,1.8288,0.71,,,,11.4802354,6.3470302
K2-199 c,c,7.374689,,3.0,,2.4504,0.7,,,,208.9014508,-6.1360833
K2-105 b,b,8.267084,,3.5,,3.4008,0.98,,,,125.4202985,13.4975122
K2-108 b,b,4.734006,,5.3,,3.5496,1.77,,,,123.3818484,16.419516
K2-98 b,b,10.136527,,4.5,,4.9704,1.39,,,,126.4882114,11.5110933
K2-121 b,b,5.185743,,7.7,,2.0304,0.71,,,,126.9366624,17.5793267
K2-18 c,c,8.962,,,363.0,,0.411,0.359,3457.0,,172.560141,7.5878315
K2-27 b,b,6.771389,,4.58049508,,,0.855055,0.92012,5368.0,4.58,171.5151874,1.2306237
K2-85 b,b,0.684553,,1.27572042,,,0.646851,0.678307,4441.0,4.65,59.464829,18.4649505
K2-117 b,b,1.2916,,2.03,868.0,,0.51,0.54,3778.0,4.75,133.8557342,10.4692176
K2-181 b,b,6.894256,,2.84,962.0,,1.07,0.99,5608.0,4.38,127.5541103,10.9101444
K2-36 c,c,5.340883,,3.58036658,,,0.745987,0.800265,4944.0,4.7,169.4490102,3.8665038
K2-24 c,c,42.363982,,7.1178989,,,1.068173,1.095122,5744.0,4.41,242.5734559,-24.9906029
K2-37 c,c,6.429582,,2.59811964,,,0.818403,0.886868,5382.0,4.66,243.4509662,-24.7870527
K2-37 b,b,4.443774,,1.52572113,,,0.818403,0.886868,5382.0,4.66,243.4509662,-24.7870527
K2-32 b,b,8.991942,,5.17103245,,,0.839164,0.915819,5415.0,4.73,252.426008,-19.5430504
K2-32 c,c,20.661623,,3.11517954,,,0.839164,0.915819,5415.0,4.73,252.426008,-19.5430504
K2-111 b,b,5.351403,,1.22263837,,,0.922706,0.876863,5741.0,4.36,59.8903081,21.2985263
K2-220 b,b,13.683256,,2.39,758.0,,1.02,0.96,5660.0,4.4,12.7700071,9.5167694
K2-189 b,b,2.588309,,1.52,1197.0,,0.87,0.94,5519.0,4.53,203.6214411,-15.0365158
K2-105 b,b,8.26679,,3.40690334,,,0.908831,0.964948,5475.0,4.51,125.4202985,13.4975122
K2-99 b,b,18.248708,,10.53585955,,,2.276457,1.424556,6033.0,3.78,208.7737624,-5.4424943
K2-117 c,c,5.444017,,2.06,537.0,,0.51,0.54,3778.0,4.75,133.8557342,10.4692176
K2-199 b,b,3.225423,,1.88203097,,,0.667422,0.705681,4681.0,4.69,208.9014508,-6.1360833
K2-189 b,b,2.58819,0.03,1.587,,2.22,0.882,,,,203.6214411,-15.0365158
WASP-47 b,b,4.1591399,1.051,12.89,,3.58392,1.15,1.084,5350.0,,331.203092,-12.019067
K2-3 c,c,24.64745,,1.56,374.0,,0.52,0.53,3951.0,,172.3353708,-1.4551364
K2-10 b,b,19.30691,0.144,3.92,703.0,,0.93,0.94,5647.0,,172.1216476,1.6906217
