toi,tid,tfopwg_disp,toipfx,st_tmag,st_rad,st_teff,st_logg,st_dist,toi_created,ra,dec
1112.01,369864738,FP,1112,9.5162,2.21,6819.0,3.92,292.085,2019-08-15 15:39:13,163.628917,-87.269735
1113.01,290348382,FP,1113,9.66865,0.53,3469.0,4.71,23.8853,2019-08-15 15:39:14,328.710839,-77.337433
1114.01,409934330,APC,1114,8.1129,,8048.0,4.438,174.475,2019-08-16 20:20:50,302.147728,-71.552443
1115.01,379286801,APC,1115,10.526,1.57,6708.3,4.2,359.215,2019-08-15 15:39:14,283.301843,-54.910806
1116.01,304100538,PC,1116,9.5268,0.906282,5551.0,4.46214,94.4178,2019-08-26 19:21:33,27.699972,-75.848774
1117.01,295541511,PC,1117,10.4055,1.02,5731.0,4.43,167.598,2019-08-15 15:39:15,273.602061,-66.419974
1118.01,90919952,FP,1118,10.5084,,4898.4,,,2019-08-22 14:42:10,277.432937,-44.625506
1119.01,261369656,APC,1119,10.5024,2.07,6456.0,3.92,421.518,2019-08-22 14:42:11,292.604815,-46.278074
112.01,388104525,KP,112,11.6035,1.13732,5650.0,4.28867,302.448,2019-05-07 17:42:43,55.933639,-65.19378
1120.01,143257766,FP,1120,10.4063,1.64,7301.0,4.23,386.323,2019-08-22 14:42:11,293.389272,-45.892667
1121.01,24094603,FP,1121,11.0605,,,,338.644,2019-08-22 14:42:11,269.648642,-46.065523
1122.01,304774444,FP,1122,10.2934,1.38,6317.0,,249.826,2019-08-22 14:42:11,281.369481,-52.262928
1123.01,469782185,APC,1123,10.2398,1.27,5159.8,4.23,161.932,2019-08-22 14:42:10,292.391505,-37.304009
1124.01,128790976,APC,1124,7.2235,1.49,6690.0,4.24,75.7145,2019-08-22 14:42:10,300.212928,-43.982529
1125.01,80166433,PC,1125,8.0465,2.5027299,8271.0,3.95,237.593,2019-08-22 14:42:10,298.287708,-46.369991
119.02,278683844,PC,119,9.2789,0.82,5332.0,4.56429,66.6187,2019-05-17 18:40:33,99.238421,-58.016153
1190.01,287196418,APC,1190,9.80529,1.63,7106.7,4.2,280.948,2019-08-27 16:09:24,292.734132,59.403853
1191.01,237185205,FP,1191,9.7831,2.21,6800.0,3.91,355.809,2019-08-27 16:09:24,283.526697,37.720014
1192.01,158276040,APC,1192,10.4999,1.28,6479.3,,283.025,2019-09-17 20:42:51,286.550056,44.0808
1193.01,89643259,FP,1193,10.4813,1.87,7166.8,,501.963,2019-09-03 15:31:12,301.41088,33.049205
1194.01,147950620,CP,1194,10.4782,0.99,5339.9,4.41,149.667,2019-08-27 16:09:25,167.821481,69.964775
1195.01,24364065,FP,1195,10.4717,3.85,4974.4,,500.014,2019-09-03 15:31:11,291.12047,33.273702
1196.01,69068526,PC,1196,10.4318,2.06,6689.0,3.96,424.442,2019-09-03 15:31:11,291.707693,17.808736
1197.01,92677094,PC,1197,10.4247,2.12,7649.0,4.04,405.634,2019-09-03 15:31:11,293.26832,15.736136
1198.01,203189770,KP,1198,10.4219,1.71,8324.0,4.28,470.878,2019-09-03 15:31:11,304.800032,32.581045
1199.01,99869022,CP,1199,10.4221,1.54,5618.0,4.06,248.427,2019-08-27 16:09:24,166.880658,61.352572
120.01,394137592,CP,120,7.1062,2.48771,5479.3,3.77,79.5702,2018-09-05 18:34:19,4.447163,-66.358928
1200.01,288185138,FP,1200,10.402,1.24,6105.0,4.31,224.444,2019-08-27 16:09:24,222.841424,82.952258
1201.01,29960110,CP,1201,10.9473,0.482388,3948.0,4.68962,37.8871,2019-01-31 17:54:44,42.2477,-14.537283
1202.01,327017634,FP,1202,8.386,0.577983,3773.0,4.438,818.829,2019-08-26 21:37:01,210.427355,-63.852645
1203.01,23434737,CP,1203,7.9995,1.17321,5742.22,4.29,64.9943,2019-08-26 21:36:04,168.226736,-34.406937
1204.01,467666275,PC,1204,8.004,1.7756799,6711.0,4.06358,106.505,2019-08-26 21:37:19,169.119109,-60.567675
1205.01,287776397,PC,1205,8.3902,4.1956,6090.0,3.29864,309.932,2019-08-26 21:36:48,127.128017,-74.954728
1139.01,202563254,PC,1139,8.86193,1.83,7947.0,4.2,238.726,2019-09-03 15:31:11,304.034336,31.925687
114.01,25155310,KP,114,10.6103,1.24175,5800.0,4.28004,216.526,2019-05-07 17:42:34,63.374706,-69.226593
1140.01,320525204,FP,1140,8.88797,1.34,5941.5,,121.182,2019-08-27 16:09:25,264.961539,56.078974
1141.01,159510109,FP,1141,8.8523,1.1179,5894.7,4.37,97.3391,2019-08-27 16:09:25,247.534722,80.307766
1142.01,284450803,FP,1142,8.64028,2.68,7518.0,3.82,299.294,2019-08-27 16:09:26,290.708965,56.615386
1143.01,160268701,FP,1143,8.63287,2.24,6152.0,3.84,191.984,2019-08-27 16:09:26,182.538652,77.352264
1144.01,28230919,KP,1144,8.5077,0.76,4757.3,4.56,37.7647,2019-08-27 16:09:25,297.710176,48.081864
1145.01,350995812,FP,1145,8.5011,,8562.5,,438.395,2019-09-03 15:31:11,291.92142,36.529898
1146.01,21755546,FP,1146,8.40386,2.62432,8598.7,4.1,411.307,2019-09-03 15:31:11,292.286802,30.297329
1147.01,288391628,FP,1147,8.36544,2.92,6259.0,3.59,218.258,2019-08-27 16:09:23,266.962207,83.428826
1148.01,349827430,KP,1148,7.9179,1.55,6403.9,4.16,96.5173,2019-08-27 16:09:25,161.909027,71.655727
1149.01,117789567,APC,1149,7.9172,,8737.5,,632.553,2019-09-03 15:31:11,300.774016,26.892025
115.01,281541555,KP,115,13.0417,0.877585,5377.0,4.42476,453.808,2018-10-22 18:35:28,6.70264,-56.316102
1150.01,16740101,KP,1150,7.58204,2.28773,9435.0,4.11,204.455,2019-09-03 15:31:11,307.8599,39.938916
1151.01,69679391,KP,1151,7.55216,1.62,8894.8,4.38,136.426,2019-09-03 15:31:10,294.661413,31.2192
1152.01,237184773,FA,1152,8.0348,,5485.0,,105.334,2019-09-03 15:31:12,283.489697,37.380825
1153.01,154840461,APC,1153,8.40534,1.69,6528.3,4.21,147.134,2019-08-27 16:09:26,182.691562,85.705076
1154.01,459970307,PC,1154,9.3188,0.93,5704.0,4.51,93.8819,2019-08-27 16:09:26,254.924043,64.699214
1155.01,161450762,FP,1155,9.711,,,,,2019-09-03 15:31:11,309.275852,32.471019
1156.01,117256577,FP,1156,9.7032,,,,6079.49,2019-09-03 15:31:12,300.419309,26.971662
1157.01,147576037,FP,1157,9.6043,3.59,5709.8,3.37,432.113,2019-08-27 16:09:25,144.341393,68.458705
1158.01,379931600,FP,1158,9.5967,1.3,4884.5,,,2019-09-03 15:31:11,293.427359,29.596296
1159.01,48188920,FP,1159,9.5937,2.1,6449.5,3.94,292.83,2019-08-27 16:09:26,282.42081,48.098942
116.01,238176110,KP,116,11.0443,0.906655,4920.0,4.49371,149.942,2018-09-05 18:49:20,357.846434,-70.152862
1160.01,89510024,FP,1160,9.577,,,,2320.13,2019-09-03 15:31:10,301.317709,30.67067
1161.01,158324245,KP,1161,10.2306,,7986.1,,519.096,2019-08-27 16:09:25,286.971388,46.868246
1162.01,13419950,PC,1162,9.65306,,8730.0,,348.481,2019-09-03 15:31:12,305.289344,41.462366
1163.01,375542276,PC,1163,9.47751,,9311.3,,148.342,2019-09-03 15:31:12,294.091757,19.639255
1164.01,16102323,FP,1164,9.329701,,,,827.868,2019-09-03 15:31:11,307.336613,37.508561
1165.01,458478250,KP,1165,9.76703,0.96,5787.0,4.5,126.261,2019-08-27 16:09:25,232.146641,66.35871
1166.01,138361973,FP,1166,9.7604,1.13,5900.4,4.39,153.743,2019-09-03 15:31:12,293.764981,37.53859
1167.01,232967666,FP,1167,10.3874,1.14,5807.0,,209.618,2019-08-27 16:09:25,198.152378,71.618139
1168.01,41330864,FP,1168,10.381,1.5,5969.0,4.17,274.162,2019-09-03 15:31:11,301.710466,38.431023
1169.01,302518439,PC,1169,10.6405,1.24,6134.3,,259.0,2019-08-27 16:09:24,134.120039,72.533276
117.01,322307342,KP,117,11.7806,2.00441,5704.8,3.84,603.955,2018-09-05 18:50:25,15.006077,-58.904724
1170.01,294176967,FP,1170,10.349,3.5,7875.0,3.61,880.107,2019-08-27 16:09:24,300.805115,52.040842
1171.01,101929303,FP,1171,10.3075,2.05,7266.0,4.06,482.763,2019-09-03 15:31:11,299.273862,35.988359
1172.01,1717732429,FP,1172,10.3018,,,,875.061,2019-08-27 16:09:24,282.474539,55.26639
1173.01,232967440,CP,1173,10.2938,0.96,5429.6,4.44,132.353,2019-08-27 16:09:26,197.683097,70.768012
1174.01,154089169,CP,1174,10.2549,0.76,5029.5,4.61,94.6375,2019-08-27 16:09:26,209.217175,68.618211
1175.01,30329585,FP,1175,10.2026,1.27,6229.0,4.31,216.517,2019-09-03 15:31:12,289.238688,31.323574
1176.01,230088370,PC,1176,10.1772,1.57435,6557.7,4.18,295.561,2019-08-27 16:09:26,247.35668,71.505873
1177.01,169177766,FP,1177,10.1617,2.1,9121.5,4.21,602.899,2019-09-03 15:31:11,297.30004,41.326844
1178.01,359496368,FP,1178,10.1358,0.56,4043.4,4.69,36.7224,2019-08-27 16:09:26,279.101036,55.391781
1179.01,148914726,APC,1179,10.1313,0.78,4927.9,4.57,86.444,2019-08-27 12:09:00,187.055897,67.240043
118.01,266980320,CP,118,9.179,1.05,5586.0,4.36763,94.1719,2018-09-05 18:51:57,349.559266,-56.903986
1180.01,158002130,CP,1180,10.112,0.73,4738.1,4.59,72.0238,2019-08-27 16:09:25,214.555774,82.193764
1181.01,229510866,CP,1181,10.079,1.93,6122.0,3.93,302.819,2019-08-27 16:09:24,297.215817,64.354351
1182.01,341544930,FP,1182,10.0049,2.05,6496.7,,,2019-08-27 16:09:26,201.614657,65.306346
