flux,flux_err,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
9552.552,13.028777,0.0015591546,165552,948.7449744164242,870.6300033539945,9056.243,12.03346,1294.1462,4.7013607,9552.552,13.028777,0,,,,,948.7449744164242,0.0011152085,870.6300033539945,0.0011403091,0.01929387,-0.03488724
9558.148,13.033066,0.0015591336,165553,948.7463357832169,870.6318695106415,9070.027,12.037421,1290.4146,4.6990185,9558.148,13.033066,0,,,,,948.7463357832169,0.0011144853,870.6318695106415,0.0011363594,0.021462321,-0.033780698
9555.597,13.034054,0.0015591126,165554,948.7491690311621,870.6295990859078,9062.409,12.038333,1293.8093,4.711184,9555.597,13.034054,0,,,,,948.7491690311621,0.0011130875,870.6295990859078,0.0011364096,0.02415622,-0.033335984
9551.145,13.038999,0.0015590916,165555,948.749179515856,870.6293075072531,9055.81,12.0429,1299.3608,4.722487,9551.145,13.038999,0,,,,,948.749179515856,0.00111693,870.6293075072531,0.0011369961,0.02438378,-0.029451896
9509.193,13.022728,0.0015590705,165556,948.7462523029635,870.6270057930976,9018.282,12.027873,1300.7662,4.72058,9509.193,13.022728,0,,,,,948.7462523029635,0.0011200844,870.6270057930976,0.001143684,0.019984113,-0.03782849
9481.633,13.010226,0.0015590496,165557,948.7479394872333,870.6261480612619,8995.157,12.016326,1308.8506,4.719321,9481.633,13.010226,0,,,,,948.7479394872333,0.0011216775,870.6261480612619,0.0011448635,0.022505937,-0.039391868
9528.81,13.022253,0.0015590285,165558,948.7478482442407,870.628348111599,9035.555,12.027433,1299.9833,4.7106447,9528.81,13.022253,0,,,,,948.7478482442407,0.0011181169,870.628348111599,0.0011409941,0.021067854,-0.036153726
9515.934,13.040712,0.0015590076,165559,948.7440789829167,870.6221054635474,9029.32,12.044483,1297.527,4.7444186,9515.934,13.040712,0,,,,,948.7440789829167,0.0011199315,870.6221054635474,0.0011428009,0.020579224,-0.042539362
9512.429,13.006685,0.0015589866,165560,948.7501383010695,870.6336913981169,9024.455,12.013056,1287.5035,4.7004876,9512.429,13.006685,0,,,,,948.7501383010695,0.001117552,870.6336913981169,0.0011377145,0.025545126,-0.029907994
9519.811,13.032939,0.0015589655,165561,948.7510950923919,870.6244573642269,9030.983,12.037303,1301.8911,4.7210097,9519.811,13.032939,0,,,,,948.7510950923919,0.0011181879,870.6244573642269,0.0011418512,0.022735938,-0.040733196
9514.981,13.0199795,0.0015589446,165562,948.7464864300208,870.6288354582165,9025.647,12.025333,1307.0793,4.714383,9514.981,13.0199795,0,,,,,948.7464864300208,0.0011174772,870.6288354582165,0.0011408129,0.021298291,-0.036426727
9533.84,13.04248,0.0015589235,165563,948.7482095433427,870.6287401758293,9040.902,12.046117,1313.3584,4.728692,9533.84,13.04248,0,,,,,948.7482095433427,0.0011180652,870.6287401758293,0.0011388196,0.022893922,-0.032475676
9509.255,13.0237465,0.0015589024,165564,948.7462494499343,870.6283384311523,9019.106,12.028813,1297.197,4.7359796,9509.255,13.0237465,0,,,,,948.7462494499343,0.0011190354,870.6283384311523,0.001139628,0.020341,-0.034293234
9499.623,13.013268,0.0015588815,165565,948.7478694542053,870.6330760390254,9013.76,12.0191345,1297.7725,4.7095675,9499.623,13.013268,0,,,,,948.7478694542053,0.0011204204,870.6330760390254,0.0011416945,0.024471814,-0.031105544
9511.577,13.017038,0.0015588604,165566,948.7453200235623,870.6297588267032,9025.734,12.022617,1298.8169,4.709514,9511.577,13.017038,0,,,,,948.7453200235623,0.0011186966,870.6297588267032,0.0011403154,0.017627986,-0.033294886
9490.337,13.022327,0.0015588395,165567,948.751298973951,870.6221045664668,9002.462,12.027503,1303.5309,4.7276354,9490.337,13.022327,0,,,,,948.751298973951,0.0011201539,870.6221045664668,0.0011484599,0.026311614,-0.043332502
9495.241,13.021129,0.0015588184,165568,948.7468641520976,870.632266001662,9009.926,12.026396,1299.6731,4.7344728,9495.241,13.021129,0,,,,,948.7468641520976,0.0011194171,870.632266001662,0.0011421998,0.020018252,-0.031085525
9508.971,13.012482,0.0015587974,165569,948.7503845830663,870.6276120394236,9025.642,12.018409,1290.9991,4.7042747,9508.971,13.012482,0,,,,,948.7503845830663,0.0011181354,870.6276120394236,0.0011389308,0.025533013,-0.03781081
9511.965,13.026339,0.0015587764,165570,948.7465060888096,870.6265324140467,9021.199,12.031207,1301.7313,4.727931,9511.965,13.026339,0,,,,,948.7465060888096,0.0011227762,870.6265324140467,0.0011404773,0.020365013,-0.03770728
9525.111,13.0225315,0.0015587553,165571,948.7491384430692,870.6343286286865,9039.115,12.02769,1296.8326,4.711759,9525.111,13.0225315,0,,,,,948.7491384430692,0.0011166073,870.6343286286865,0.0011384464,0.022230426,-0.028632645
9521.542,13.036751,0.0015587343,165572,948.7471503116225,870.6174237935185,9030.319,12.040825,1304.908,4.732942,9521.542,13.036751,0,,,,,948.7471503116225,0.0011188923,870.6174237935185,0.0011409181,0.02203781,-0.04605584
9503.672,13.025837,0.0015587133,165573,948.7467844933853,870.6323369317844,9018.433,12.030745,1302.0575,4.731428,9503.672,13.025837,0,,,,,948.7467844933853,0.0011177517,870.6323369317844,0.001142846,0.021131957,-0.03247304
