kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_depth,koi_prad,koi_teq,koi_insol,koi_steff,koi_srad,koi_smass,koi_slogg,koi_count,koi_num_transits,koi_max_sngle_ev,koi_max_mult_ev,koi_impact,koi_duration,koi_ingress,koi_dor,koi_period_log,koi_prad_category,koi_steff_category,stellar_density
K01695.01,Kepler-930 b,CONFIRMED,CANDIDATE,71.4523167,216.9,2.19,561.0,23.44,6148.0,1.488,1.094,4.132,1,19.0,4.9955993,12.382159,0.017,6.276,,88.14,4.282928644790995,Sub-Neptune,F-dwarf,0.3320538563722327
K01696.01,,FALSE POSITIVE,FALSE POSITIVE,1.752564549,116.6,1.38,1741.0,2174.09,6221.0,1.18,1.09,4.333,1,766.0,3.8654742,28.858698,0.741,3.503,,2.76,1.0125330403842314,Earth-size,F-dwarf,0.6634076512204268
K07839.01,,FALSE POSITIVE,FALSE POSITIVE,0.566816802,94.0,0.68,1585.0,1483.43,4665.0,0.704,0.695,4.584,1,2305.0,3.4131775,9.451874,0.414,1.981,,2.123,0.4490460465202299,Sub-Earth,K-dwarf,1.991896769052874
K01697.01,,FALSE POSITIVE,FALSE POSITIVE,1.752553762,414.7,1.06,933.0,178.74,4408.0,0.529,0.528,4.713,1,748.0,4.01475,24.285072,0.346,3.877,,3.37,1.0125291214857117,Sub-Earth,K-dwarf,3.5667026662703387
K01698.01,,FALSE POSITIVE,FALSE POSITIVE,2.065351521,173.2,1.03,1196.0,485.51,5266.0,0.749,0.702,4.536,1,648.0,4.3859015,21.6187,0.63,2.661,,4.76,1.120162251555806,Sub-Earth,G-dwarf,1.6706737888553296
K01699.01,,FALSE POSITIVE,FALSE POSITIVE,2.253551793,119.6,1.7,1812.0,2547.01,6526.0,1.426,1.226,4.217,1,599.0,5.7167544,28.604504,0.761,3.66,,3.25,1.1797472589901705,Earth-size,F-dwarf,0.4227969966609135
K01981.01,Kepler-1037 b,CONFIRMED,CANDIDATE,1.06378861,251.5,1.61,1650.0,1761.19,5265.0,1.002,0.919,4.4,1,1004.0,3.7159958,22.85753,0.466,1.072,,6.87,0.7245434247386132,Earth-size,G-dwarf,0.9135079826999442
K01926.01,,FALSE POSITIVE,FALSE POSITIVE,123.11494773,421.1,2.39,878.0,141.6,5767.0,1.0,0.974,4.438,1,143.0,5.5897505,19.2544115,0.537,17.24,,15.46,4.821208134030482,Sub-Neptune,G-dwarf,0.974
K01896.01,,FALSE POSITIVE,FALSE POSITIVE,1.854493861,1287.3,29.39,1291.0,657.94,5431.0,0.843,0.945,4.563,1,573.0,14.609763,80.84418,1.279,4.2367,,1.682,1.0488945457805228,Jupiter-size,G-dwarf,1.577426326190762
K07852.01,,FALSE POSITIVE,FALSE POSITIVE,1.020713389,102.3,0.9,1724.0,2079.36,5815.0,0.87,0.913,4.52,1,1314.0,3.0211103,8.138825,0.425,0.873,,8.21,0.7034506119370724,Sub-Earth,G-dwarf,1.386478117791415
K01763.01,,FALSE POSITIVE,FALSE POSITIVE,2.1990638,344.8,1.33,1087.0,330.97,5003.0,0.707,0.681,4.572,1,491.0,4.3608136,17.436922,0.489,3.197,,4.74,1.1628582045009237,Earth-size,K-dwarf,1.9270317514248572
K01807.01,,FALSE POSITIVE,FALSE POSITIVE,132.1331011,7956.2,75.08,809.0,101.41,5067.0,8.121,1.812,2.877,1,8.0,25.265589,65.126045,0.606,26.715,,34.01,4.891349387945534,Jupiter-size,K-dwarf,0.0033832155002541395
K01999.01,,FALSE POSITIVE,FALSE POSITIVE,1.120646438,322.5,89.35,2783.0,14127.22,4972.0,4.034,1.668,3.449,1,475.0,3.1128955,11.579143,1.182,1.7664,,1.603,0.7517209657890788,Jupiter-size,K-dwarf,0.025409046304127762
