orbital_period,transit_depth,planet_radius,koi_teq,koi_insol,stellar_teff,stellar_density,disposition
1.000747038,1823.5,4.14,1620.0,1635.2,5472.0,1.4562742501100316,FALSE POSITIVE
8.884922995,16053.4,10.51,770.0,83.21,5332.0,1.3704412844472122,CONFIRMED
8.09888906,6911.1,8.95,986.0,223.19,6214.0,0.9383777403969326,CONFIRMED
10.00653012,936.1,3.52,876.0,139.21,6063.0,1.0757694632261623,CONFIRMED
17.855221681,9065.2,13.16,911.0,163.04,6823.0,0.5425723857808528,CONFIRMED
12.732624065,6465.7,4.87,432.0,8.22,3950.0,3.555630308700517,CANDIDATE
83.92494032,7958.7,4.78,226.0,0.62,3960.0,3.988709404464529,CANDIDATE
5.007316661,6932.3,6.96,998.0,234.28,5865.0,1.6159565047308464,CONFIRMED
2.211116989,724.2,1.85,931.0,177.19,4500.0,2.6336665918161306,CONFIRMED
27.9541337,942.5,1.9,400.0,6.04,4500.0,2.6336665918161306,CONFIRMED
12.69104387,252.1,2.57,1008.0,244.3,5869.0,0.2370350451052429,CONFIRMED
4.409409243,12861.0,10.95,1101.0,347.06,5600.0,0.8749978927493721,FALSE POSITIVE
16.23947096,2590.7,4.14,598.0,30.14,5191.0,1.5979501134402183,CONFIRMED
6.308201629,1328.5,2.96,819.0,106.44,5191.0,1.5979501134402183,CONFIRMED
2.052349884,14280.6,13.12,1497.0,1183.18,5855.0,0.8327300208301578,CONFIRMED
9.7704486,1897.8,2.23,460.0,10.59,3906.0,3.89884969639817,CONFIRMED
5.169804269,1037.4,1.66,569.0,24.75,3906.0,3.89884969639817,CONFIRMED
21.22261195,366.0,2.48,771.0,83.56,5945.0,0.45714946256748,CONFIRMED
20.09017037,1432.1,2.25,362.0,4.05,3906.0,3.89884969639817,CONFIRMED
7.11373257,807.6,1.16,429.0,8.01,3561.0,7.405670319319283,CONFIRMED
3.306551643,509.2,0.91,554.0,22.19,3561.0,7.405670319319283,CONFIRMED
15.36845737,756.1,1.11,332.0,2.86,3561.0,7.405670319319283,CONFIRMED
13.81020318,1309.7,4.56,833.0,113.75,5942.0,0.6774743462018045,CONFIRMED
4.093578461,538.6,2.85,1182.0,461.07,6077.0,1.0802374727861777,CONFIRMED
105.145959,685.4,3.43,401.0,6.09,6077.0,1.0802374727861777,CONFIRMED
10.8484518,1675.6,2.34,499.0,14.66,4201.0,2.950223037588298,CONFIRMED
6.66833241,362.3,1.18,587.0,28.06,4201.0,2.950223037588298,CONFIRMED
4.082274889,17859.2,10.55,1016.0,251.48,5655.0,1.7699957134939022,CONFIRMED
3.886655224,581.6,1.87,1010.0,246.29,5662.0,2.022653359368987,CANDIDATE
42.1406089,895.5,1.85,349.0,3.49,4500.0,2.6336665918161306,CONFIRMED
4.617490562,575.8,1.62,728.0,66.47,4500.0,2.6336665918161306,CONFIRMED
10.19849255,634.1,1.75,559.0,23.11,4500.0,2.6336665918161306,CONFIRMED
5.795063956,1692.9,4.33,950.0,192.74,5865.0,1.6159565047308464,FALSE POSITIVE
7.15681552,867.0,2.47,782.0,88.23,5029.0,1.3560348014402763,CONFIRMED
17.64830851,763.3,2.43,579.0,26.49,5029.0,1.3560348014402763,CONFIRMED
4.14810719,175.2,1.08,938.0,182.76,5029.0,1.3560348014402763,CONFIRMED
16.51410989,973.5,2.72,655.0,43.57,5527.0,1.2949181548289015,CONFIRMED
30.1329298,1015.8,3.14,536.0,19.55,5527.0,1.2949181548289015,CONFIRMED
4.79090809,251.3,1.36,990.0,227.24,5527.0,1.2949181548289015,CONFIRMED
31.71981013,363.4,3.09,743.0,71.97,5869.0,0.2370350451052429,CONFIRMED
99.6415962,952.5,2.64,360.0,3.97,5527.0,1.2949181548289015,CONFIRMED
4.708326451,7912.7,10.6,1162.0,431.02,5560.0,0.5306054942505508,CONFIRMED
16.37198661,4147.6,172.5984999999994,438.0,8.71,4187.0,2.7955217361261924,FALSE POSITIVE
5.392026903,1151.4,2.68,850.0,123.33,5198.0,1.780424434154992,CONFIRMED
2.494170338,863.7,2.42,1194.0,480.19,5569.0,1.6288623483516649,CANDIDATE
6.491682808,7163.3,9.66,1062.0,301.54,6123.0,0.8543593434499226,CONFIRMED
3.044770796,1695.0,24.54,1076.0,317.36,5525.0,1.9744341136570984,FALSE POSITIVE
3.855603916,16652.7,13.61,1212.0,508.65,6033.0,1.0074749433030148,CONFIRMED
3.855599139,1030.9,3.57,1158.0,425.74,5936.0,1.196262597444978,FALSE POSITIVE
38.47876629,23530.0,13.26,484.0,13.01,5510.0,1.432670158856867,CONFIRMED
37.601661282,59130.1,27.22,606.0,31.86,6140.0,0.7512156537822693,FALSE POSITIVE
3.314947362,1398.2,3.94,1155.0,421.03,5609.0,1.1685237262573098,CONFIRMED
6.71969089,969.7,4.37,952.0,194.18,5931.0,1.2702823754266872,FALSE POSITIVE
39.6431552,15663.8,10.98,472.0,11.74,5231.0,1.157750342935528,CONFIRMED
51.42598578,66067.7,29.66,549.0,21.4,6257.0,0.8170955078678104,FALSE POSITIVE
21.80451611,1144.9,2.6,543.0,20.48,5481.0,2.271094830460686,CONFIRMED
10.28194593,1110.7,2.53,680.0,50.6,5196.0,1.866872545399617,CONFIRMED
