toi,tid,tfopwg_disp,toipfx,st_tmag,st_rad,st_teff,st_logg,st_dist,toi_created,ra,dec
1197.01,92677094.0,PC,1197.0,10.4247,2.12,7649.0,4.04,405.634,2019-09-03 15:31:11,293.26832,15.736136
1198.01,203189770.0,KP,1198.0,10.4219,1.71,8324.0,4.28,470.878,2019-09-03 15:31:11,304.800032,32.581045
1199.01,99869022.0,CP,1199.0,10.4221,1.54,5618.0,4.06,248.427,2019-08-27 16:09:24,166.880658,61.352572
173.0102,394137592.0,CP,173.0,7.356738,2.48771,5479.3,3.77,79.5702,2018-09-05 18:34:19,4.63381522,-66.358928
1200.01,288185138.0,FP,1200.0,10.402,1.24,6105.0,4.31,224.444,2019-08-27 16:09:24,222.841424,82.16685803999997
1201.01,29960110.0,CP,1201.0,10.9473,0.482388,3948.0,4.68962,37.8871,2019-01-31 17:54:44,42.2477,-14.537283
1202.01,327017634.0,FP,1202.0,8.386,0.577983,3773.0,4.438,818.829,2019-08-26 21:37:01,210.427355,-63.852645
1203.01,23434737.0,CP,1203.0,7.9995,1.17321,5742.22,4.29,64.9943,2019-08-26 21:36:04,168.226736,-34.406937
1204.01,467666275.0,PC,1204.0,8.004,1.7756799,6711.0,4.06358,106.505,2019-08-26 21:37:19,169.119109,-60.567675
1205.01,287776397.0,PC,1205.0,8.3902,4.1956,6090.0,3.545051,309.932,2019-08-26 21:36:48,127.128017,-74.954728
1139.01,202563254.0,PC,1139.0,8.86193,1.83,7947.0,4.2,238.726,2019-09-03 15:31:11,304.034336,31.925687
173.0102,25155310.0,KP,173.0,10.6103,1.24175,5800.0,4.28004,216.526,2019-05-07 17:42:34,63.374706,-69.226593
1140.01,320525204.0,FP,1140.0,8.88797,1.34,5941.5,4.33,121.182,2019-08-27 16:09:25,264.961539,56.078974
1141.01,159510109.0,FP,1141.0,8.8523,1.1179,5894.7,4.37,97.3391,2019-08-27 16:09:25,247.534722,80.307766
1142.01,284450803.0,FP,1142.0,8.64028,2.68,7518.0,3.82,299.294,2019-08-27 16:09:26,290.708965,56.615386
1143.01,160268701.0,FP,1143.0,8.63287,2.24,6152.0,3.84,191.984,2019-08-27 16:09:26,182.538652,77.352264
1144.01,28230919.0,KP,1144.0,8.5077,0.76,4757.3,4.56,37.7647,2019-08-27 16:09:25,297.710176,48.081864
1145.01,350995812.0,FP,1145.0,8.5011,1.23434,8562.5,4.33,438.395,2019-09-03 15:31:11,291.92142,36.529898
1146.01,21755546.0,FP,1146.0,8.40386,2.62432,8598.7,4.1,411.307,2019-09-03 15:31:11,292.286802,30.297329
1147.01,288391628.0,FP,1147.0,8.36544,2.92,6259.0,3.59,218.258,2019-08-27 16:09:23,266.962207,82.16685803999997
1148.01,349827430.0,KP,1148.0,7.9179,1.55,6403.9,4.16,96.5173,2019-08-27 16:09:25,161.909027,71.655727
1149.01,117789567.0,APC,1149.0,7.9172,1.23434,8737.5,4.33,632.553,2019-09-03 15:31:11,300.774016,26.892025
173.0102,281541555.0,KP,173.0,13.0417,0.877585,5377.0,4.42476,453.808,2018-10-22 18:35:28,6.70264,-56.316102
1150.01,16740101.0,KP,1150.0,7.58204,2.28773,9435.0,4.11,204.455,2019-09-03 15:31:11,307.8599,39.938916
1151.01,69679391.0,KP,1151.0,7.55216,1.62,8894.8,4.38,136.426,2019-09-03 15:31:10,294.661413,31.2192
1152.01,237184773.0,FA,1152.0,8.0348,1.23434,5485.0,4.33,105.334,2019-09-03 15:31:12,283.489697,37.380825
1153.01,154840461.0,APC,1153.0,8.40534,1.69,6528.3,4.21,147.134,2019-08-27 16:09:26,182.691562,82.16685803999997
1154.01,459970307.0,PC,1154.0,9.3188,0.93,5704.0,4.51,93.8819,2019-08-27 16:09:26,254.924043,64.699214
1155.01,161450762.0,FP,1155.0,9.711,1.23434,5800.55,4.33,365.00800000000004,2019-09-03 15:31:11,309.275852,32.471019
1156.01,117256577.0,FP,1156.0,9.7032,1.23434,5800.55,4.33,1786.5281999999818,2019-09-03 15:31:12,300.419309,26.971662
1157.01,147576037.0,FP,1157.0,9.6043,3.59,5709.8,3.545051,432.113,2019-08-27 16:09:25,144.341393,68.458705
1158.01,379931600.0,FP,1158.0,9.5967,1.3,4884.5,4.33,365.00800000000004,2019-09-03 15:31:11,293.427359,29.596296
1159.01,48188920.0,FP,1159.0,9.5937,2.1,6449.5,3.94,292.83,2019-08-27 16:09:26,282.42081,48.098942
173.0102,238176110.0,KP,173.0,11.0443,0.906655,4920.0,4.49371,149.942,2018-09-05 18:49:20,356.17946393999995,-70.152862
1160.01,89510024.0,FP,1160.0,9.577,1.23434,5800.55,4.33,1786.5281999999818,2019-09-03 15:31:10,301.317709,30.67067
1161.01,158324245.0,KP,1161.0,10.2306,1.23434,7986.1,4.33,519.096,2019-08-27 16:09:25,286.971388,46.868246
1162.01,13419950.0,PC,1162.0,9.65306,1.23434,8730.0,4.33,348.481,2019-09-03 15:31:12,305.289344,41.462366
1163.01,375542276.0,PC,1163.0,9.47751,1.23434,9311.3,4.33,148.342,2019-09-03 15:31:12,294.091757,19.639255
